question_id,category,skill,difficulty,question,ideal_answer,keywords
PY015,Python,Python,Medium,"What are properties and how are they used with @property decorator?","Properties allow you to define getter, setter, and deleter methods for class attributes using @property decorator. This enables encapsulation while maintaining simple dot notation. Example: @property def age(self): return self._age; @age.setter def age(self, value): self._age = value. Benefits include validation in setters, computed properties, and backward compatibility when adding validation to existing code. Properties make code more Pythonic than Java-style getAge()/setAge() methods.","property,@property,getter,setter,encapsulation,decorator,validation"
PY016,Python,Python,Medium,"Explain metaclasses in Python.","Metaclasses are classes whose instances are classes themselves. In Python, type is the default metaclass. Classes are created using their metaclass, much like instances are created using classes. You can create custom metaclasses by subclassing type to control class creation and behavior. Syntax: class MyMeta(type): pass; class MyClass(metaclass=MyMeta): pass. Metaclasses are advanced and rarely needed, but useful for frameworks, ORMs, and enforcing constraints on class definitions. Most code doesn't need custom metaclasses.","metaclass,type,class creation,advanced Python,framework,ORM,__new__,__init__"
PY017,Python,Python,Easy,"What does 'self' represent in a Python class?","'self' is a reference to the instance of the class itself. It's used in instance methods to access and modify instance attributes and call other instance methods. By convention, it's the first parameter of instance methods (not required, just convention). Example: class Dog: def bark(self): print('woof'). When you call dog.bark(), Python automatically passes the dog instance as self. Static methods don't need self; class methods receive cls instead.","self,instance,method,class,attribute,convention,reference"
PY018,Python,Python,Medium,"Explain operator overloading with magic methods (__add__, __str__, etc).","Magic methods (dunder methods) allow classes to define behavior for built-in operations. __add__ overloads +, __sub__ overloads -, __mul__ overloads *, etc. __str__ defines string representation for print(); __repr__ for debugging. __len__ enables len(); __getitem__ enables indexing. __eq__ enables ==; __lt__ enables <. Example: class Vector: def __add__(self, other): return Vector(...). This makes objects behave like built-in types and improves readability.","magic method,dunder,operator overloading,__add__,__str__,__repr__,protocol"
PY019,Python,Python,Hard,"Explain Python's MRO (Method Resolution Order) and C3 Linearization.","MRO determines the order in which base classes are searched when executing a method. Python uses C3 Linearization algorithm. Check MRO with ClassName.mro() or ClassName.__mro__. Example: class C(A, B): pass searches C, then A (and its parents), then B (and its parents), then object. MRO ensures consistent ordering and prevents diamond problem. super() uses MRO to call parent methods. Understanding MRO is crucial for complex inheritance hierarchies.","MRO,Method Resolution Order,C3 Linearization,multiple inheritance,super(),inheritance,diamond problem"
PY020,Python,Python,Medium,"What is monkey patching in Python?","Monkey patching is dynamically modifying or extending code at runtime by changing attributes, methods, or classes. Example: import module; module.function = new_function. Useful for testing (mocking), fixing bugs without modifying original code, or extending third-party libraries. However, it makes code harder to understand and maintain. Better alternatives include inheritance, composition, or dependency injection. Use responsibly, preferably only in tests or as temporary workarounds.","monkey patching,dynamic modification,runtime,mocking,testing,extension,maintainability"
PY021,Python,Python,Hard,"Explain context managers and the 'with' statement.","Context managers handle setup and teardown of resources using the 'with' statement. They implement __enter__() (setup) and __exit__() (cleanup). Example: with open('file.txt') as f:. The __enter__ method is called on entering the block; __exit__ is called on exit (even if exception occurs). Benefits include automatic resource cleanup, readability, and exception safety. You can create custom context managers using @contextmanager decorator or by implementing the protocol.","context manager,with,__enter__,__exit__,resource management,cleanup,@contextmanager"
PY022,Python,Python,Easy,"What are string methods? Give examples of commonly used ones.","String methods are built-in functions for string manipulation. Common methods: .upper() converts to uppercase, .lower() to lowercase, .strip() removes leading/trailing whitespace, .split() splits into list, .join() combines list to string, .replace(old, new) replaces text, .find() searches for substring, .startswith()/.endswith() check prefix/suffix. Strings are immutable, so these methods return new strings. Example: 'hello world'.upper() returns 'HELLO WORLD'.","string methods,upper,lower,strip,split,join,replace,find,immutable"
PY023,Python,Python,Medium,"Explain f-strings and string formatting in Python.","F-strings (formatted string literals) provide a concise, readable way to embed expressions in strings using f-prefix and curly braces {}. Example: f'Hello {name}, you are {age} years old'. They support expressions: f'2 + 2 = {2+2}', formatting: f'{value:.2f}' (2 decimals), and datetime: f'{now:%Y-%m-%d}'. Alternative methods include .format() and % operator, but f-strings are preferred for readability and performance (evaluated at compile time).","f-string,formatting,expression,.format,%,string,readability,performance"
SQL001,SQL,SQL,Easy,"What does the SELECT statement do?","The SELECT statement retrieves data from one or more database tables. Basic syntax: SELECT column1, column2 FROM table_name. SELECT * retrieves all columns. SELECT DISTINCT returns unique values only. Combine with WHERE clause to filter: SELECT * FROM customers WHERE age > 30. SELECT is the foundation of all queries and can project, filter, join, aggregate, and sort data. Always specify columns needed rather than using * for performance.","SELECT,query,column,FROM,WHERE,*,DISTINCT,projection"
SQL002,SQL,SQL,Easy,"What is the difference between WHERE and HAVING clauses?","WHERE filters rows before grouping; HAVING filters groups after aggregation. WHERE works on individual rows and cannot use aggregate functions. HAVING works on grouped data and must use aggregate functions. Example: SELECT department, AVG(salary) FROM employees WHERE salary > 50000 GROUP BY department HAVING AVG(salary) > 60000. WHERE is applied first (more efficient), then HAVING is applied to filtered groups. Both can be used together in same query.","WHERE,HAVING,filter,grouping,aggregate,GROUP BY,before,after"
SQL003,SQL,SQL,Easy,"Explain the GROUP BY clause and its purpose.","GROUP BY groups rows by one or more columns and collapses them into fewer rows. Typically used with aggregate functions like COUNT(), SUM(), AVG(), MAX(), MIN(). Example: SELECT department, COUNT(*) as num_employees FROM employees GROUP BY department returns count per department. All selected non-aggregated columns must be in GROUP BY. Without GROUP BY, aggregate functions apply to entire result set. GROUP BY is essential for summarization and analysis queries.","GROUP BY,aggregate,COUNT,SUM,AVG,group,summarization,function"
SQL004,SQL,SQL,Medium,"Explain different types of JOINs (INNER, LEFT, RIGHT, FULL).","JOINs combine rows from two or more tables. INNER JOIN returns only matching rows from both tables. LEFT JOIN returns all rows from left table + matching rows from right (nulls for non-matches). RIGHT JOIN returns all rows from right table + matching rows from left. FULL OUTER JOIN returns all rows from both tables (nulls for non-matches). Example: SELECT * FROM employees INNER JOIN departments ON employees.dept_id = departments.id. Different databases have different FULL syntax support. Use ON clause to specify join condition.","JOIN,INNER,LEFT,RIGHT,FULL,matching,table,ON condition,null"
SQL005,SQL,SQL,Easy,"What are subqueries and how are they used?","Subqueries (inner queries) are queries nested inside other queries. They can return a single value, multiple rows, or multiple columns. Example: SELECT * FROM employees WHERE salary > (SELECT AVG(salary) FROM employees). Subqueries in WHERE filter results; in SELECT provide computed columns; in FROM act as derived tables. Subqueries are usually less efficient than JOINs but more readable for complex logic. Correlated subqueries reference outer query columns (executed once per row).","subquery,nested,WHERE,SELECT,FROM,derived table,correlation"
SQL006,SQL,SQL,Medium,"What are CTEs (Common Table Expressions)? What is the advantage?","CTEs use WITH clause to define temporary named result sets usable in subsequent queries. Syntax: WITH cte_name AS (SELECT ...) SELECT * FROM cte_name. Advantages: improved readability, reduced code duplication, ability to reference same CTE multiple times, recursive queries possible. Example: WITH employee_salaries AS (SELECT * FROM employees) SELECT * FROM employee_salaries WHERE salary > 50000. CTEs make complex queries easier to understand and maintain compared to nested subqueries.","CTE,WITH,temporary,named,readability,recursive,result set"
SQL007,SQL,SQL,Medium,"Explain window functions and provide an example.","Window functions perform calculations across rows related to current row without collapsing results. Syntax uses OVER(PARTITION BY column ORDER BY column). Example: SELECT employee, salary, AVG(salary) OVER (PARTITION BY department) FROM employees shows average salary per department for each employee. Common functions: ROW_NUMBER(), RANK(), DENSE_RANK(), LAG(), LEAD(). Window functions are more efficient than subqueries for such calculations. Useful for ranking, running totals, moving averages.","window function,OVER,PARTITION BY,ROW_NUMBER,RANK,LAG,LEAD,calculation"
SQL008,SQL,SQL,Easy,"What is the ORDER BY clause and how does it work?","ORDER BY sorts query results by one or more columns. Default is ascending (ASC); use DESC for descending. Example: SELECT * FROM employees ORDER BY last_name, first_name ASC. Can sort by column name, alias, or column number (e.g., ORDER BY 2). NULL values are typically sorted first (database-dependent). Multiple columns create multi-level sort. ORDER BY should be last clause. Use it for presenting results but note sorting large result sets impacts performance.","ORDER BY,sort,ASC,DESC,NULL,multiple columns,ascending,descending"
SQL009,SQL,SQL,Hard,"Explain SQL query optimization techniques.","Optimization techniques: use WHERE to filter early, use indexes on frequently searched columns, avoid SELECT * (specify needed columns), use INNER JOIN over subqueries, avoid functions on indexed columns (SELECT * WHERE UPPER(name)='JOHN' bypasses index), use EXPLAIN to see execution plan, denormalize carefully for read performance, use appropriate data types, batch operations. Profile queries to identify bottlenecks. Query optimization is a continuous process based on actual usage patterns.","optimization,index,EXPLAIN,execution plan,performance,filter,JOIN,denormalize"
SQL010,SQL,SQL,Medium,"What are foreign keys and primary keys?","Primary Key uniquely identifies each row in a table. Each table should have exactly one primary key. Cannot be NULL. Example: CREATE TABLE users (id INT PRIMARY KEY, name VARCHAR(100)). Foreign Key establishes relationship between tables by referencing primary key of another table. Example: CREATE TABLE orders (id INT PRIMARY KEY, user_id INT FOREIGN KEY REFERENCES users(id)). Foreign keys enforce referential integrity (prevent orphaned records). Relationships can be One-to-Many, Many-to-Many, or One-to-One.","primary key,foreign key,unique,constraint,relationship,referential integrity,NULL,REFERENCES"
SQL011,SQL,SQL,Medium,"Explain normalization in databases. What are normal forms?","Normalization organizes database to reduce redundancy and improve integrity. First Normal Form (1NF): eliminate repeating groups. Second Normal Form (2NF): remove partial dependencies (every non-key column depends on entire primary key). Third Normal Form (3NF): remove transitive dependencies (non-key columns don't depend on other non-key columns). Higher normal forms (BCNF, 4NF, 5NF) exist but are rarely needed. Trade-off: normalization improves data integrity but increases query complexity (requires more joins).","normalization,1NF,2NF,3NF,redundancy,dependency,integrity,denormalization"
SQL012,SQL,SQL,Hard,"What are indexes and how do they improve performance?","Indexes create sorted data structures (B-trees, hash tables) enabling fast lookups without scanning entire table. Trade-off: faster reads, slower writes (must update index). Types: Primary Key (unique), Unique, Full-text, Composite (multiple columns). Cost is memory overhead. Best for columns in WHERE, JOIN ON, ORDER BY clauses. Avoid over-indexing; each index impacts INSERT, UPDATE, DELETE performance. EXPLAIN shows if index is used. Indexes don't help with SELECT * or non-indexed WHERE columns.","index,performance,B-tree,lookup,write,trade-off,EXPLAIN,optimization"
SQL013,SQL,SQL,Easy,"Explain basic SQL aggregate functions: COUNT, SUM, AVG, MAX, MIN.","Aggregate functions compute single result from multiple rows. COUNT(*) counts rows (including NULLs), COUNT(column) counts non-NULL values. SUM(column) totals numeric values. AVG(column) averages numeric values. MAX(column) returns largest value (works on numbers, strings, dates). MIN(column) returns smallest value. All ignore NULL values except COUNT(*). Example: SELECT COUNT(*), SUM(salary), AVG(salary) FROM employees. Use GROUP BY to compute aggregates per group. HAVING filters aggregate results.","aggregate,COUNT,SUM,AVG,MAX,MIN,NULL,GROUP BY"
SQL014,SQL,SQL,Medium,"What is the CASE statement in SQL?","CASE statement provides conditional logic in SQL queries. Syntax: CASE WHEN condition THEN result ELSE result END. Example: SELECT name, CASE WHEN salary > 100000 THEN 'High' WHEN salary > 50000 THEN 'Medium' ELSE 'Low' END as salary_level FROM employees. Can use multiple WHEN clauses; ELSE is optional (defaults to NULL). CASE is used in SELECT, WHERE, and ORDER BY clauses. More readable than multiple IF statements.","CASE,WHEN,THEN,ELSE,conditional,multiple conditions,result"
SQL015,SQL,SQL,Medium,"Explain UNION and UNION ALL in SQL.","UNION combines results from multiple SELECT statements, removing duplicates. UNION ALL combines results without removing duplicates (faster). All SELECTs must have same number of columns with compatible types. Column names come from first SELECT. Syntax: SELECT col1 FROM table1 UNION SELECT col1 FROM table2. Use UNION to merge similar data from different tables or same table with different conditions. NULL is treated as a value (duplicates removed if all columns NULL).","UNION,UNION ALL,combine,duplicate,merge,SELECT,compatible"
ML001,Machine Learning,Machine Learning,Easy,"Explain the difference between supervised and unsupervised learning.","Supervised learning uses labeled training data (input-output pairs) to train model to predict outputs for new inputs. Examples: classification (labels are categories), regression (labels are continuous values). Unsupervised learning finds patterns in unlabeled data without predefined outcomes. Examples: clustering (groups similar items), dimensionality reduction. Supervised requires labeled data (expensive to obtain); unsupervised works with raw data. Semi-supervised uses mixture of labeled and unlabeled data.","supervised,unsupervised,labeled,unlabeled,classification,regression,clustering,training"
ML002,Machine Learning,Machine Learning,Easy,"What is the difference between regression and classification?","Regression predicts continuous numerical values. Example: predicting house prices, temperature, or stock price. Output is any real number. Classification predicts categorical labels (discrete classes). Example: spam/not spam, disease/no disease, cat/dog/bird. Output is one of predefined categories. Regression uses algorithms like linear regression, decision trees (continuous output). Classification uses logistic regression, decision trees (categorical output), SVM, neural networks. Evaluation metrics differ: regression uses MSE, RMSE, R²; classification uses accuracy, precision, recall.","regression,classification,continuous,categorical,numerical,discrete,prediction"
ML003,Machine Learning,Machine Learning,Easy,"What is overfitting and underfitting?","Overfitting occurs when model learns training data too well, including noise and details not generalizing to new data. High training accuracy, low test accuracy. Causes: model too complex, too much training, insufficient data. Underfitting occurs when model is too simple to capture underlying patterns. Low training and test accuracy. Causes: model too simple, insufficient training, wrong algorithm. Both are problems. Goal is balanced model with high train and test accuracy. Regularization, cross-validation, and early stopping help prevent overfitting.","overfitting,underfitting,generalization,training,test,complexity,regularization,accuracy"
ML004,Machine Learning,Machine Learning,Medium,"Explain the bias-variance tradeoff.","Bias is error from oversimplified model assumptions. High bias = underfitting. Variance is error from model sensitivity to training data variations. High variance = overfitting. Tradeoff: cannot minimize both simultaneously. Simple models have high bias, low variance. Complex models have low bias, high variance. Optimal model minimizes total error = bias² + variance + irreducible error. Regularization reduces variance at cost of slight bias increase. Cross-validation helps find balance. Understanding this tradeoff is fundamental to machine learning.","bias,variance,tradeoff,error,underfitting,overfitting,regularization,complexity"
ML005,Machine Learning,Machine Learning,Medium,"What is cross-validation and why is it important?","Cross-validation evaluates model performance using multiple train-test splits to estimate generalization error. K-fold cross-validation: divide data into k folds, train on k-1 folds, test on 1 fold, repeat k times, average scores. Reduces variability compared to single train-test split. Leave-One-Out CV uses folds of size 1 (expensive but thorough). Stratified CV preserves class distribution in classification. Important because single split may be lucky/unlucky. More reliable estimate of how model performs on unseen data.","cross-validation,k-fold,train-test,generalization,overfitting,stratified,Leave-One-Out"
ML006,Machine Learning,Machine Learning,Medium,"Explain feature engineering and its importance.","Feature engineering creates new features from raw data to improve model performance. Examples: polynomial features (x²), interactions (x1*x2), transformations (log(x)), binning continuous to categorical, encoding categorical variables. Domain knowledge is crucial. Good features: relevant to target, uncorrelated with each other, interpretable. Poor features add noise and hurt performance. Feature engineering often more important than algorithm choice. Feature selection removes irrelevant features (reduces overfitting, improves speed).","feature engineering,feature extraction,domain knowledge,transformation,encoding,binning,relevant"
ML007,Machine Learning,Machine Learning,Medium,"What is feature selection and why is it important?","Feature selection identifies most important features for predicting target. Methods: filter (correlation with target), wrapper (train model with subsets), embedded (feature importance from tree models). Removes irrelevant and redundant features. Benefits: simpler models (easier interpret), faster training/prediction, reduced overfitting, lower cost (fewer measurements). Too many features hurt performance (curse of dimensionality). Feature selection based on domain knowledge and data analysis. Contrasts with feature engineering (creating new features).","feature selection,importance,redundant,curse of dimensionality,filter,wrapper,embedded"
ML008,Machine Learning,Machine Learning,Hard,"Explain regularization techniques: L1, L2, and Elastic Net.","Regularization adds penalty term to loss function to prevent overfitting. L1 (Lasso) penalty: |coefficients|. Encourages sparse solutions (some coefficients = 0). Good for feature selection. L2 (Ridge) penalty: coefficients². Shrinks coefficients but keeps all features. L2 preferred when all features matter. Elastic Net combines L1 and L2 (parameter alpha balances them). Regularization strength controlled by lambda parameter. Higher lambda = stronger regularization = simpler model, higher bias, lower variance. Cross-validation finds optimal lambda.","L1,L2,Lasso,Ridge,Elastic Net,regularization,penalty,sparse,lambda"
ML009,Machine Learning,Machine Learning,Medium,"Explain decision trees and how they make predictions.","Decision trees recursively split data based on feature values to create tree structure. Each internal node is a decision rule on feature, branches are outcomes, leaves are predictions. Build by finding feature and threshold minimizing impurity (Gini for classification, MSE for regression). Trees are interpretable and handle non-linear relationships. Disadvantages: prone to overfitting, unstable (small data changes create different trees), biased toward features with many values. Pruning removes overfitting. Ensemble methods (Random Forest, Gradient Boosting) improve performance.","decision tree,split,impurity,Gini,recursive,interpretable,pruning,overfitting"
ML010,Machine Learning,Machine Learning,Medium,"What is a Random Forest and what problem does it solve?","Random Forest is ensemble of decision trees trained on random subsets of data and features. Each tree predicts, final prediction averages (regression) or majority votes (classification). Reduces overfitting and variance compared to single tree. Handles non-linearity and feature interactions well. Robust to outliers. Fast parallel training. Drawback: less interpretable than single tree. Number of trees (n_estimators) is key parameter. Works well with default hyperparameters, but tuning improves performance. One of most popular ML algorithms.","Random Forest,ensemble,tree,variance,robust,parallel,n_estimators,overfitting reduction"
ML011,Machine Learning,Machine Learning,Hard,"Explain Support Vector Machines (SVM) and how they work.","SVM finds optimal hyperplane maximizing margin (distance) between classes. Linearly separable data: uses linear kernel, hyperplane is line/plane. Non-linear data: uses kernel trick (RBF, polynomial) to implicitly map to higher dimensions. Decision boundary defined by support vectors (data points on margin). For multi-class uses one-vs-rest or one-vs-one strategies. Advantages: effective in high dimensions, memory efficient, kernel flexibility. Disadvantages: slower with large datasets, less interpretable, requires feature scaling. Hyperparameters: C (regularization), kernel type, gamma.","SVM,hyperplane,margin,kernel trick,support vectors,RBF,polynomial,decision boundary"
ML012,Machine Learning,Machine Learning,Medium,"Explain K-Nearest Neighbors (KNN) algorithm.","KNN classifies point based on k nearest training examples. For new point, finds k closest points (Euclidean distance by default) and predicts by majority vote (classification) or average (regression). Simple but effective. Lazy learner (no training phase). Sensitive to k value (small k = noisy, large k = oversmooth). Distance metric crucial (Euclidean, Manhattan, Minkowski). Computationally expensive for large datasets (must calculate distances to all training points). Better with feature scaling (features same magnitude).","KNN,k-nearest,distance,lazy learning,classification,regression,Euclidean,hyperparameter"
ML013,Machine Learning,Machine Learning,Hard,"Explain clustering algorithms: K-Means, Hierarchical, DBSCAN.","K-Means: iteratively assigns points to k nearest centroids, updates centroids. Simple, fast, but requires choosing k. Hierarchical: builds tree of nested clusters (dendrogram). Agglomerative (bottom-up) or divisive (top-down). Dendrogram shows relationships. DBSCAN: density-based, groups nearby points, identifies outliers. Doesn't require k (requires eps, min_samples). Advantages: finds clusters of any shape, identifies outliers. Disadvantages: sensitive to parameters. Each has use cases: K-Means for spherical clusters, Hierarchical for understanding relationships, DBSCAN for complex shapes and outliers.","clustering,K-Means,Hierarchical,DBSCAN,centroids,density,unsupervised,dendrogram"
ML014,Machine Learning,Machine Learning,Medium,"What is model evaluation? What metrics are important?","Model evaluation assesses how well model performs on unseen data. Metrics depend on task. Classification: accuracy (% correct), precision (true positives / predicted positives), recall (true positives / actual positives), F1-score (harmonic mean of precision/recall), ROC-AUC. Regression: MAE (mean absolute error), MSE (mean squared error), RMSE, R² (proportion of variance explained). ROC curve plots true positive rate vs false positive rate at different thresholds. Choose metrics based on business goal and data imbalance.","evaluation,metric,accuracy,precision,recall,F1,ROC-AUC,MAE,MSE,R²"
ML015,Machine Learning,Machine Learning,Hard,"Explain ensemble learning and methods like Bagging and Boosting.","Ensemble learning combines multiple models to improve performance. Bagging (Bootstrap Aggregating): trains multiple models on random samples with replacement, averages predictions. Reduces variance. Random Forest uses bagging with decision trees. Boosting: trains models sequentially, each corrects errors of previous. Gives more weight to misclassified samples. AdaBoost, Gradient Boosting, XGBoost. Boosting reduces bias and variance. Bagging good when base model has high variance; Boosting when high bias. Stacking: trains meta-model on predictions of base models.","ensemble,Bagging,Boosting,AdaBoost,Gradient Boosting,XGBoost,variance,bias"
STAT001,Statistics,Statistics,Easy,"Explain mean, median, and mode.","Mean is average of values. Median is middle value when sorted (50th percentile). Mode is most frequent value. Mean affected by outliers; median robust. For skewed distributions, median better represents central tendency. Example: [1,1,2,3,100] mean=21.4, median=2, mode=1. Mean useful for normal distributions. Median for skewed or with outliers. Mode for categorical data or identifying peaks. All three provide different insights into data distribution.","mean,median,mode,average,outliers,central tendency,skewed,distribution"
STAT002,Statistics,Statistics,Easy,"What is standard deviation and variance?","Variance measures spread of data around mean. Calculated as average squared deviations from mean. Standard deviation is square root of variance (same units as data). Example: values [1,2,3] have mean 2, deviations [-1,0,1], squared deviations [1,0,1], variance 2/3, std dev sqrt(2/3). Low std dev = data clustered near mean. High std dev = data spread out. Population std dev divides by n; sample std dev divides by n-1 (Bessel's correction). Coefficient of variation (std dev / mean) compares spread across datasets.","standard deviation,variance,spread,outliers,mean,deviations,population,sample"
STAT003,Statistics,Statistics,Easy,"Explain probability and basic probability rules.","Probability is likelihood of event occurring, between 0 (impossible) and 1 (certain). P(A) = favorable outcomes / total outcomes. For independent events: P(A and B) = P(A) * P(B). For mutually exclusive events: P(A or B) = P(A) + P(B). General rule: P(A or B) = P(A) + P(B) - P(A and B). Complement: P(A) + P(not A) = 1. Law of total probability: P(A) = sum of P(A|B) * P(B) for all B. Conditional probability: P(A|B) = P(A and B) / P(B) = probability of A given B.","probability,likelihood,event,independent,mutually exclusive,conditional,complement,rules"
STAT004,Statistics,Statistics,Medium,"Explain normal distribution and its properties.","Normal (Gaussian) distribution is bell-shaped, symmetric around mean. Defined by mean (μ) and standard deviation (σ). Properties: 68% data within 1σ, 95% within 2σ, 99.7% within 3σ (empirical rule). Useful for many phenomena (heights, test scores, measurement errors). Central Limit Theorem: sample means approximately normal regardless of original distribution. Z-score = (value - mean) / std dev normalizes data. Standard normal has mean=0, std dev=1. Many statistical tests assume normality (t-test, ANOVA).","normal distribution,Gaussian,bell curve,mean,standard deviation,empirical rule,Central Limit Theorem,Z-score"
STAT005,Statistics,Statistics,Medium,"Explain hypothesis testing and p-value.","Hypothesis testing determines if sample data supports hypothesis about population. Null hypothesis (H0) assumes no effect; alternative hypothesis (Ha) assumes effect. Test statistic computed from sample; p-value is probability of observing test statistic (or more extreme) if H0 true. Significance level (alpha) typically 0.05. If p-value < alpha, reject H0 (statistically significant). If p-value >= alpha, fail to reject H0. P-value not probability H0 is true; it's probability of data given H0. Common tests: t-test, chi-square, ANOVA.","hypothesis testing,null hypothesis,p-value,significance,alpha,test statistic,reject,Type I,Type II error"
